timestamp,region,region_name,fuel_type,generation_mwh
2024-01-02T11,PJM,"PJM Interconnection, LLC",Other,1076
2024-01-02T11,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T11,PJM,"PJM Interconnection, LLC",Hydro,4254
2024-01-02T11,PJM,"PJM Interconnection, LLC",Wind,4863
2024-01-02T12,PJM,"PJM Interconnection, LLC",Coal,15206
2024-01-02T12,PJM,"PJM Interconnection, LLC",Natural Gas,44656
2024-01-02T12,PJM,"PJM Interconnection, LLC",Nuclear,32519
2024-01-02T12,PJM,"PJM Interconnection, LLC",Petroleum,227
2024-01-02T12,PJM,"PJM Interconnection, LLC",Other,1070
2024-01-02T12,PJM,"PJM Interconnection, LLC",Solar,13
2024-01-02T12,PJM,"PJM Interconnection, LLC",Hydro,5037
2024-01-02T12,PJM,"PJM Interconnection, LLC",Wind,5447
2024-01-02T13,PJM,"PJM Interconnection, LLC",Coal,16154
2024-01-02T13,PJM,"PJM Interconnection, LLC",Natural Gas,44896
2024-01-02T13,PJM,"PJM Interconnection, LLC",Nuclear,32545
2024-01-02T13,PJM,"PJM Interconnection, LLC",Petroleum,229
2024-01-02T13,PJM,"PJM Interconnection, LLC",Other,1138
2024-01-02T13,PJM,"PJM Interconnection, LLC",Solar,807
2024-01-02T13,PJM,"PJM Interconnection, LLC",Hydro,4579
2024-01-02T13,PJM,"PJM Interconnection, LLC",Wind,5613
2024-01-02T14,PJM,"PJM Interconnection, LLC",Coal,15936
2024-01-02T14,PJM,"PJM Interconnection, LLC",Natural Gas,44650
2024-01-02T14,PJM,"PJM Interconnection, LLC",Nuclear,32539
2024-01-02T14,PJM,"PJM Interconnection, LLC",Petroleum,225
2024-01-02T14,PJM,"PJM Interconnection, LLC",Other,1283
2024-01-02T14,PJM,"PJM Interconnection, LLC",Solar,2202
2024-01-02T14,PJM,"PJM Interconnection, LLC",Hydro,3620
2024-01-02T14,PJM,"PJM Interconnection, LLC",Wind,5688
2024-01-02T15,PJM,"PJM Interconnection, LLC",Coal,16148
2024-01-02T15,PJM,"PJM Interconnection, LLC",Natural Gas,44533
2024-01-02T15,PJM,"PJM Interconnection, LLC",Nuclear,32551
2024-01-02T15,PJM,"PJM Interconnection, LLC",Petroleum,222
2024-01-02T15,PJM,"PJM Interconnection, LLC",Other,1276
2024-01-02T15,PJM,"PJM Interconnection, LLC",Solar,2645
2024-01-02T15,PJM,"PJM Interconnection, LLC",Hydro,1581
2024-01-02T15,PJM,"PJM Interconnection, LLC",Wind,5958
2024-01-02T16,PJM,"PJM Interconnection, LLC",Coal,15207
2024-01-02T16,PJM,"PJM Interconnection, LLC",Natural Gas,42482
2024-01-02T16,PJM,"PJM Interconnection, LLC",Nuclear,32534
2024-01-02T16,PJM,"PJM Interconnection, LLC",Petroleum,219
2024-01-02T16,PJM,"PJM Interconnection, LLC",Other,1260
2024-01-02T16,PJM,"PJM Interconnection, LLC",Solar,2753
2024-01-02T16,PJM,"PJM Interconnection, LLC",Hydro,1458
2024-01-02T16,PJM,"PJM Interconnection, LLC",Wind,6715
2024-01-02T17,PJM,"PJM Interconnection, LLC",Coal,14917
2024-01-02T17,PJM,"PJM Interconnection, LLC",Natural Gas,42068
2024-01-02T17,PJM,"PJM Interconnection, LLC",Nuclear,32563
2024-01-02T17,PJM,"PJM Interconnection, LLC",Petroleum,217
2024-01-02T17,PJM,"PJM Interconnection, LLC",Other,1242
2024-01-02T17,PJM,"PJM Interconnection, LLC",Solar,2898
2024-01-02T17,PJM,"PJM Interconnection, LLC",Hydro,1155
2024-01-02T17,PJM,"PJM Interconnection, LLC",Wind,7307
2024-01-02T18,PJM,"PJM Interconnection, LLC",Coal,14977
2024-01-02T18,PJM,"PJM Interconnection, LLC",Natural Gas,42467
2024-01-02T18,PJM,"PJM Interconnection, LLC",Nuclear,32532
2024-01-02T18,PJM,"PJM Interconnection, LLC",Petroleum,212
2024-01-02T18,PJM,"PJM Interconnection, LLC",Other,1263
2024-01-02T18,PJM,"PJM Interconnection, LLC",Solar,3030
